Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
NONE,0.0,0.0,0.684,0.896,100.00
random_noise,-0.884,-0.68,0.004,0.012,0.02
overlay_stripes,-0.856,-0.672,0.012,0.04,7.85
blur,-0.848,-0.672,0.012,0.048,3.00
rotate,-0.84,-0.656,0.028,0.056,27.78
color_jitter,-0.808,-0.656,0.028,0.088,16.00
sharpen,-0.796,-0.652,0.032,0.1,100.00
pixelization,-0.788,-0.652,0.032,0.108,70.00
encoding_quality,-0.768,-0.648,0.036,0.128,85.00
change_aspect_ratio,-0.764,-0.628,0.056,0.132,30.00
overlay_emoji,-0.764,-0.6080000000000001,0.076,0.132,64.00
vflip,-0.72,-0.6120000000000001,0.072,0.176,100.00
meme_format,-0.7,-0.6080000000000001,0.076,0.196,40.00
overlay_text,-0.6920000000000001,-0.6000000000000001,0.084,0.204,25.00
perspective_transform,-0.668,-0.5640000000000001,0.12,0.228,50.00
scale,-0.6120000000000001,-0.5920000000000001,0.092,0.284,20.00
hflip,-0.54,-0.49600000000000005,0.188,0.356,100.00
opacity,-0.348,-0.3400000000000001,0.344,0.548,50.00
