,Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
0,NONE,0.0,0.0,0.672,0.876,100.00
1,opacity,-0.872,-0.672,0.0,0.004,50.00
2,blur,-0.868,-0.668,0.004,0.008,5.00
3,random_noise,-0.868,-0.672,0.0,0.008,0.02
4,overlay_stripes,-0.832,-0.652,0.02,0.044,7.85
5,rotate,-0.8160000000000001,-0.656,0.016,0.06,27.78
6,pixelization,-0.748,-0.628,0.044,0.128,70.00
7,sharpen,-0.744,-0.62,0.052,0.132,100.00
8,change_aspect_ratio,-0.744,-0.636,0.036,0.132,30.00
9,encoding_quality,-0.74,-0.62,0.052,0.136,85.00
10,color_jitter,-0.732,-0.616,0.056,0.144,16.00
11,overlay_emoji,-0.724,-0.5840000000000001,0.088,0.152,64.00
12,vflip,-0.64,-0.556,0.116,0.236,100.00
13,meme_format,-0.62,-0.5720000000000001,0.1,0.256,40.00
14,overlay_text,-0.612,-0.552,0.12,0.264,25.00
15,scale,-0.5880000000000001,-0.54,0.132,0.288,20.00
16,perspective_transform,-0.5760000000000001,-0.516,0.156,0.3,50.00
17,hflip,-0.448,-0.41200000000000003,0.26,0.428,100.00
