Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
NONE,0.0,0.0,0.824,0.932,100.00
random_noise,-0.8200000000000001,-0.7799999999999999,0.044,0.112,0.02
overlay_stripes,-0.6480000000000001,-0.6759999999999999,0.148,0.284,7.85
blur,-0.516,-0.604,0.22,0.416,3.00
rotate,-0.4,-0.49999999999999994,0.324,0.532,27.78
change_aspect_ratio,-0.30400000000000005,-0.40399999999999997,0.42,0.628,30.00
overlay_emoji,-0.264,-0.36399999999999993,0.46,0.668,64.00
pixelization,-0.248,-0.408,0.416,0.684,70.00
vflip,-0.20000000000000007,-0.31999999999999995,0.504,0.732,100.00
encoding_quality,-0.18400000000000005,-0.33599999999999997,0.488,0.748,85.00
overlay_text,-0.14800000000000002,-0.24,0.584,0.784,25.00
scale,-0.1120000000000001,-0.21999999999999997,0.604,0.82,20.00
sharpen,-0.09600000000000009,-0.19999999999999996,0.624,0.836,100.00
meme_format,-0.09200000000000008,-0.16799999999999993,0.656,0.84,40.00
perspective_transform,-0.08800000000000008,-0.132,0.692,0.844,50.00
hflip,-0.05600000000000005,-0.10399999999999998,0.72,0.876,100.00
opacity,-0.052000000000000046,-0.1399999999999999,0.684,0.88,50.00
color_jitter,-0.052000000000000046,-0.09999999999999998,0.724,0.88,16.00
