Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
NONE,0.0,0.0,0.548,0.776,100.00
random_noise,-0.764,-0.544,0.004,0.012,0.02
blur,-0.752,-0.548,0.0,0.024,3.00
overlay_stripes,-0.736,-0.528,0.02,0.04,7.85
pixelization,-0.728,-0.548,0.0,0.048,70.00
rotate,-0.724,-0.536,0.012,0.052,27.78
overlay_emoji,-0.716,-0.512,0.036,0.06,64.00
sharpen,-0.7040000000000001,-0.52,0.028,0.072,100.00
encoding_quality,-0.7000000000000001,-0.508,0.04,0.076,85.00
color_jitter,-0.6960000000000001,-0.508,0.04,0.08,16.00
change_aspect_ratio,-0.684,-0.532,0.016,0.092,30.00
scale,-0.664,-0.536,0.012,0.112,20.00
vflip,-0.652,-0.48400000000000004,0.064,0.124,100.00
perspective_transform,-0.648,-0.48000000000000004,0.068,0.128,50.00
meme_format,-0.648,-0.49600000000000005,0.052,0.128,40.00
overlay_text,-0.64,-0.5,0.048,0.136,25.00
hflip,-0.6000000000000001,-0.47200000000000003,0.076,0.176,100.00
opacity,-0.452,-0.40800000000000003,0.14,0.324,50.00
