Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
NONE,0.0,0.0,0.904,0.996,100.00
random_noise,-0.16000000000000003,-0.248,0.656,0.836,0.02
blur,-0.14800000000000002,-0.21999999999999997,0.684,0.848,3.00
overlay_emoji,-0.08799999999999997,-0.136,0.768,0.908,64.00
change_aspect_ratio,-0.07999999999999996,-0.14800000000000002,0.756,0.916,30.00
rotate,-0.07599999999999996,-0.11199999999999999,0.792,0.92,27.78
pixelization,-0.06399999999999995,-0.12,0.784,0.932,70.00
vflip,-0.04800000000000004,-0.09599999999999997,0.808,0.948,100.00
overlay_stripes,-0.040000000000000036,-0.07200000000000006,0.832,0.956,7.85
encoding_quality,-0.03200000000000003,-0.06800000000000006,0.836,0.964,85.00
scale,-0.03200000000000003,-0.06000000000000005,0.844,0.964,20.00
opacity,-0.02400000000000002,-0.04800000000000004,0.856,0.972,50.00
overlay_text,-0.02400000000000002,-0.01200000000000001,0.892,0.972,25.00
meme_format,-0.02400000000000002,-0.04800000000000004,0.856,0.972,40.00
perspective_transform,-0.020000000000000018,-0.03600000000000003,0.868,0.976,50.00
hflip,-0.008000000000000007,-0.020000000000000018,0.884,0.988,100.00
sharpen,-0.0040000000000000036,0.008000000000000007,0.912,0.992,100.00
color_jitter,-0.0040000000000000036,-0.03200000000000003,0.872,0.992,16.00
