Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
NONE,0.0,0.0,0.58,0.82,100.00
random_noise,-0.8039999999999999,-0.576,0.004,0.016,0.02
blur,-0.7839999999999999,-0.568,0.012,0.036,3.00
overlay_stripes,-0.7799999999999999,-0.5599999999999999,0.02,0.04,7.85
rotate,-0.748,-0.5519999999999999,0.028,0.072,27.78
pixelization,-0.692,-0.5399999999999999,0.04,0.128,70.00
change_aspect_ratio,-0.6639999999999999,-0.5399999999999999,0.04,0.156,30.00
overlay_emoji,-0.6599999999999999,-0.504,0.076,0.16,64.00
encoding_quality,-0.6359999999999999,-0.49599999999999994,0.084,0.184,85.00
color_jitter,-0.604,-0.472,0.108,0.216,16.00
meme_format,-0.596,-0.49599999999999994,0.084,0.224,40.00
sharpen,-0.58,-0.46399999999999997,0.116,0.24,100.00
vflip,-0.572,-0.45599999999999996,0.124,0.248,100.00
scale,-0.5439999999999999,-0.45199999999999996,0.128,0.276,20.00
perspective_transform,-0.532,-0.42799999999999994,0.152,0.288,50.00
overlay_text,-0.532,-0.42799999999999994,0.152,0.288,25.00
hflip,-0.41999999999999993,-0.356,0.224,0.4,100.00
opacity,-0.29599999999999993,-0.29999999999999993,0.28,0.524,50.00
