Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
NONE,0.0,0.0,0.624,0.84,100.00
random_noise,-0.832,-0.624,0.0,0.008,0.02
blur,-0.8039999999999999,-0.616,0.008,0.036,3.00
overlay_stripes,-0.7999999999999999,-0.608,0.016,0.04,7.85
rotate,-0.7959999999999999,-0.616,0.008,0.044,27.78
pixelization,-0.772,-0.6,0.024,0.068,70.00
encoding_quality,-0.756,-0.576,0.048,0.084,85.00
change_aspect_ratio,-0.756,-0.592,0.032,0.084,30.00
overlay_emoji,-0.752,-0.572,0.052,0.088,64.00
sharpen,-0.744,-0.588,0.036,0.096,100.00
color_jitter,-0.72,-0.576,0.048,0.12,16.00
overlay_text,-0.72,-0.568,0.056,0.12,25.00
scale,-0.696,-0.56,0.064,0.144,20.00
vflip,-0.692,-0.5640000000000001,0.06,0.148,100.00
meme_format,-0.628,-0.548,0.076,0.212,40.00
perspective_transform,-0.608,-0.536,0.088,0.232,50.00
hflip,-0.576,-0.504,0.12,0.264,100.00
opacity,-0.46799999999999997,-0.45599999999999996,0.168,0.372,50.00
