Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
NONE,0.0,0.0,0.66,0.856,100.00
random_noise,-0.856,-0.66,0.0,0.0,0.02
blur,-0.764,-0.62,0.04,0.092,3.00
overlay_stripes,-0.7,-0.5960000000000001,0.064,0.156,7.85
rotate,-0.58,-0.52,0.14,0.276,27.78
pixelization,-0.5640000000000001,-0.508,0.152,0.292,70.00
change_aspect_ratio,-0.504,-0.5,0.16,0.352,30.00
encoding_quality,-0.408,-0.43600000000000005,0.224,0.448,85.00
overlay_emoji,-0.40399999999999997,-0.404,0.256,0.452,64.00
sharpen,-0.344,-0.37600000000000006,0.284,0.512,100.00
overlay_text,-0.31599999999999995,-0.30000000000000004,0.36,0.54,25.00
scale,-0.28800000000000003,-0.34,0.32,0.568,20.00
meme_format,-0.272,-0.28400000000000003,0.376,0.584,40.00
vflip,-0.256,-0.31200000000000006,0.348,0.6,100.00
color_jitter,-0.24,-0.29200000000000004,0.368,0.616,16.00
perspective_transform,-0.22399999999999998,-0.22800000000000004,0.432,0.632,50.00
opacity,-0.17999999999999994,-0.22400000000000003,0.436,0.676,50.00
hflip,-0.17999999999999994,-0.16400000000000003,0.496,0.676,100.00
