Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
NONE,0.0,0.0,0.672,0.876,100.00
random_noise,-0.864,-0.672,0.0,0.012,0.02
blur,-0.848,-0.66,0.012,0.028,3.00
overlay_stripes,-0.832,-0.652,0.02,0.044,7.85
rotate,-0.8160000000000001,-0.656,0.016,0.06,27.78
pixelization,-0.748,-0.628,0.044,0.128,70.00
sharpen,-0.744,-0.62,0.052,0.132,100.00
change_aspect_ratio,-0.744,-0.636,0.036,0.132,30.00
encoding_quality,-0.74,-0.62,0.052,0.136,85.00
color_jitter,-0.732,-0.616,0.056,0.144,16.00
overlay_emoji,-0.724,-0.5840000000000001,0.088,0.152,64.00
vflip,-0.64,-0.556,0.116,0.236,100.00
meme_format,-0.62,-0.5720000000000001,0.1,0.256,40.00
overlay_text,-0.6,-0.548,0.124,0.276,25.00
scale,-0.5880000000000001,-0.54,0.132,0.288,20.00
perspective_transform,-0.5760000000000001,-0.516,0.156,0.3,50.00
hflip,-0.448,-0.41200000000000003,0.26,0.428,100.00
opacity,-0.33999999999999997,-0.36400000000000005,0.308,0.536,50.00
